Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Math,15 ka 20 pratishat (percentage) kitna hota hai?,2,3,4,5,B
Math,Ek triangle ke teeno konon (angles) ka yog kitna hota hai?,90 degree,180 degree,270 degree,360 degree,B
Math,2 + 2 * 2 ka maan kya hoga?,8,6,4,2,B
Math,Sabse choti purn sankhya (whole number) kaun si hai?,0,1,2,-1,A
Math,Varg (Square) ki sabhi bhujaen (sides) kaisi hoti hain?,Alag-alag,Barabar,Samantar,Lambi,B
Math,1 se 100 ke beech kitni abhajya (prime) sankhyaen hain?,20,25,30,35,B
Math,Ek ghante mein kitne second hote hain?,60,360,3600,6000,C
Math,Circle ka kshetrafal (area) nikalne ka sutra kya hai?,pi*r,2*pi*r,pi*r*r,l*b,C
Math,Do samantar (parallel) rekhaen ek doosre ko kab kat-ti hain?,Hamesha,Kabhi nahi,Kisi bindu par,Nishchit nahi,B
Math,5 ka cube (5^3) kya hota hai?,125,25,150,100,A
Math,Ek kiliometer mein kitne meter hote hain?,100,500,1000,10000,C
Math,Sankhya 0 kya hai?,Dhanatmak,Rinatmak,Na dhanatmak na rinatmak,Prime number,C
Math,1/2 + 1/2 ka maan kya hai?,1,0,2,0.5,A
Math,Ek varsh mein kitne saptah (weeks) hote hain?,48,50,52,54,C
Math,Kis sankhya ko 'Zero' se bhag (divide) karne par kya milta hai?,0,1,Infinity,Wahi sankhya,C
Math,Trigun (Triple) ka matlab kya hai?,x2,x3,x4,x5,B
Math,Ek samakoni (right angle) kitne degree ka hota hai?,45,90,180,360,B
Math,Aayata (Rectangle) ka parimap (perimeter) ka sutra?,l+b,2(l+b),l*b,2*l*b,B
Math,10 ka 10 pratishat kitna hota hai?,1,10,100,0.1,A
Math,Kaun si sankhya na prime hai na composite?,0,1,2,3,B
