Ramayan ke mool lekhak kaun hain?,Tulsidas,Valmiki,Ved Vyas,Vishwamitra,B
Ramcharitmanas kisne likhi hai?,Tulsidas,Valmiki,Surdas,Kabir,A
Bhagwan Ram ke pita ka kya naam tha?,Janak,Dasharath,Vashistha,Vishwamitra,B
Mata Sita ke pita ka kya naam tha?,Dasharath,Janak,Kushadhwaj,Siradhwaj,B
Ayodhya kis nadi ke kinare basi hai?,Ganga,Yamuna,Saryu,Godavari,C
Raja Dasharath kis desh ke raja the?,Mithila,Lanka,Kosala,Kishkindha,C
Laxman ki mata ka kya naam tha?,Kaushalya,Kaikeyi,Sumitra,Mandodari,C
Bharat ki mata ka kya naam tha?,Kaushalya,Kaikeyi,Sumitra,Urmila,B
Ram ki mata ka kya naam tha?,Kaushalya,Kaikeyi,Sumitra,Sunayana,A
Sita swayamvar mein kis bhagwan ka dhanush toda gaya tha?,Vishnu,Brahma,Shiv,Indra,C
Urmila kiski patni thi?,Ram,Laxman,Bharat,Shatrughan,B
Mandavi kiski patni thi?,Ram,Laxman,Bharat,Shatrughan,C
Shrutakirti kiski patni thi?,Ram,Laxman,Bharat,Shatrughan,D
Bhagwan Ram ko kitne varsh ka vanvas mila tha?,12,13,14,15,C
Vanvas ke dauran Ram Sita aur Laxman kahan ruke the?,Panchavati,Kishkindha,Lanka,Mithila,A
Swarn Mrig (Sone ka hiran) ka roop kis rakshas ne dharan kiya tha?,Kumbhkaran,Maricha,Subahu,Khara,B
Ravana kahan ka raja tha?,Kishkindha,Ayodhya,Lanka,Mithila,C
Ravana ki behen ka kya naam tha?,Mandodari,Surpanakha,Trijata,Tataka,B
Jatayu ke bhai ka kya naam tha?,Sampati,Garud,Vali,Sugriva,A
Hanuman ji ko Sanjeevani booti lane kisne bheja tha?,Vashistha,Vishwamitra,Sushena Vaidya,Agastya,C
Sanjeevani booti kis parvat par thi?,Kailash,Dronagiri,Vindhya,Himalaya,B
Vali ka vadh kisne kiya tha?,Laxman,Hanuman,Sugriva,Ram,D
Sugriva ke bhai ka kya naam tha?,Angad,Vali,Nal,Neel,B
Hanuman ji ke pita ka kya naam tha?,Kesari,Vayu,Surya,Indra,A
Lanka dahan kisne kiya tha?,Ram,Laxman,Hanuman,Angad,C
Ravana ke kis bhai ne Ram ka sath diya tha?,Kumbhkaran,Vibhishana,Ahiravana,Khara,B
Kumbhkaran kitne mahine sota tha?,3,4,6,8,C
Meghnad kiska putra tha?,Vibhishana,Kumbhkaran,Ravana,Khara,C
Indrajit kiska doosra naam tha?,Ravana,Meghnad,Kumbhkaran,Ahiravana,B
Luv aur Kush kiske putra the?,Laxman-Urmila,Bharat-Mandavi,Ram-Sita,Shatrughan-Shrutakirti,C
Ramayan mein kitne Kand (Chapters) hain?,5,6,7,8,C
Hanuman ji ki bhent Ram ji se kis parvat par hui thi?,Dronagiri,Kailash,Rishyamuk,Vindhya,C
Shabri ke jhoothe ber kisne khaye the?,Laxman,Bharat,Shatrughan,Ram,D
Sita haran ke samay Ravana ne kis viman ka prayog kiya tha?,Garud,Pushpak,Hans,Vayu,B
Ravana ke pita ka kya naam tha?,Pulastya,Vishrava,Kashyap,Atri,B
Lanka jane ke liye samudra par pul kisne banaya tha?,Nal-Neel,Angad-Hanuman,Sugriva-Vali,Ram-Laxman,A
Laxman ko shakti baan kisne mara tha?,Ravana,Kumbhkaran,Meghnad,Ahiravana,C
Sita ji ko Lanka mein kis vatika mein rakha gaya tha?,Nandan Van,Ashok Vatika,Panchavati,Kishkindha,B
Ravana ka vadh kis astra se hua tha?,Pashupatastra,Brahmastra,Sudarshan Chakra,Trishul,B
Ravana ki patni ka kya naam tha?,Mandodari,Trijata,Surpanakha,Tataka,A
Bhagwan Ram kiske avatar the?,Brahma,Shiv,Vishnu,Indra,C
Laxman kiske avatar mane jate hain?,Surya,Sheshnag,Garud,Vayu,B
Hanuman ji kiske avatar mane jate hain?,Vishnu,Brahma,Rudra (Shiv),Indra,C
Ramayan kis yug ki ghatna hai?,Satyug,Treta Yug,Dwapar Yug,Kalyug,B
Raja Dasharath ke kul-guru kaun the?,Vishwamitra,Vashistha,Agastya,Valmiki,B
Sita ji ki mata ka kya naam tha?,Kaushalya,Sunayana,Mandavi,Urmila,B
Ahilya ko shrap se kisne mukt kiya tha?,Vishwamitra,Ram,Laxman,Gautam Rishi,B
Ram setu nirman mein kisne sahayata ki thi?,Vanar Sena,Rakshas Sena,Devta,Manushya,A
Lanka mein Hanuman ji ki poonch mein aag kisne lagwayi thi?,Meghnad,Kumbhkaran,Ravana,Vibhishana,C
Ramayan ke annt mein Ram ji ne kis nadi mein jal samadhi li thi?,Ganga,Yamuna,Saryu,Narmada,C
